Customer ID,Sales,Purchase_Frequency,Cluster,Customer_Segment
MC-17845,3805.714,14,2,High-Value
MC-18100,2218.98,19,0,Loyal
MC-18130,1581.9979999999998,11,0,Loyal
MD-17350,3766.382,17,2,High-Value
MD-17860,1204.91,8,0,Loyal
ME-17320,10663.728000000001,22,1,Occasional
ME-17725,1908.4532,13,0,Loyal
ME-18010,1256.944,6,0,Loyal
MF-17665,937.039,8,0,Loyal
MF-18250,1758.3,12,0,Loyal
MG-17650,3785.276,14,2,High-Value
MG-17680,2350.188,10,0,Loyal
MG-17695,1342.282,7,0,Loyal
MG-17875,1242.8329999999999,7,0,Loyal
MG-17890,776.384,13,0,Loyal
MG-18145,3061.543,8,2,High-Value
MG-18205,16.739,2,0,Loyal
MH-17290,2394.025,13,0,Loyal
MH-17440,400.016,9,0,Loyal
MH-17455,2456.1820000000002,11,0,Loyal
MH-17620,1252.8,6,0,Loyal
MH-17785,2203.7780000000002,11,0,Loyal
MH-18025,2984.948,10,2,High-Value
MH-18115,5503.093,22,2,High-Value
MJ-17740,6320.746,15,2,High-Value
MK-17905,2302.368,17,0,Loyal
MK-18160,1031.602,11,0,Loyal
ML-17395,2722.843,20,0,Loyal
ML-17410,2921.5,15,0,Loyal
ML-17755,2071.9139999999998,13,0,Loyal
ML-18040,742.082,4,0,Loyal
ML-18265,162.232,3,0,Loyal
MM-17260,1314.023,6,0,Loyal
MM-17920,3794.0800000000004,16,2,High-Value
MM-18055,2749.881,19,0,Loyal
MM-18280,775.414,12,0,Loyal
MN-17935,2477.946,10,0,Loyal
MO-17500,922.487,5,0,Loyal
MO-17800,1687.0269999999998,11,0,Loyal
MO-17950,154.288,4,0,Loyal
MP-17470,3206.132,14,2,High-Value
MP-17965,3983.6420000000003,20,2,High-Value
MP-18175,5087.92,19,2,High-Value
MR-17545,639.178,6,0,Loyal
MS-17365,7443.6900000000005,24,1,Occasional
MS-17530,475.65599999999995,7,0,Loyal
MS-17710,1613.402,15,0,Loyal
MS-17770,3144.678,19,2,High-Value
MS-17830,370.348,5,0,Loyal
MS-17980,855.116,11,0,Loyal
MT-17815,2890.139,10,0,Loyal
MT-18070,1319.4498,11,0,Loyal
MV-17485,1560.05,15,0,Loyal
MV-18190,1734.574,11,0,Loyal
MW-18220,5341.900000000001,14,2,High-Value
MW-18235,5253.876,3,2,High-Value
MY-17380,2254.285,13,0,Loyal
MY-18295,4152.696,21,2,High-Value
MZ-17335,593.606,6,0,Loyal
MZ-17515,2564.906,10,0,Loyal
NB-18580,273.87199999999996,2,0,Loyal
NB-18655,1972.599,17,0,Loyal
NC-18340,2461.404,17,0,Loyal
NC-18415,2218.9900000000002,14,0,Loyal
NC-18535,8241.739,15,1,Occasional
NC-18625,1821.742,9,0,Loyal
ND-18370,4326.139,18,2,High-Value
ND-18460,2893.455,8,0,Loyal
NF-18385,8322.826,14,1,Occasional
NF-18475,377.16200000000003,4,0,Loyal
NF-18595,2031.472,12,0,Loyal
NG-18355,1869.58,16,0,Loyal
NG-18430,1395.9379999999999,9,0,Loyal
NH-18610,2673.29,11,0,Loyal
NK-18490,572.048,11,0,Loyal
NL-18310,1418.0900000000001,10,0,Loyal
NM-18445,6459.344,14,2,High-Value
NM-18520,2161.979,15,0,Loyal
NP-18325,5529.62,21,2,High-Value
NP-18670,3908.402,10,2,High-Value
NP-18685,1228.698,7,0,Loyal
NP-18700,7903.1825,13,1,Occasional
NR-18550,2367.277,13,0,Loyal
NS-18505,2575.863,15,0,Loyal
NS-18640,2964.823,26,2,High-Value
NW-18400,7234.014,22,2,High-Value
NZ-18565,2488.31,20,0,Loyal
ON-18715,1567.52,15,0,Loyal
OT-18730,3818.624,10,2,High-Value
PA-19060,729.408,7,0,Loyal
PB-18805,740.356,10,0,Loyal
PB-19105,688.324,5,0,Loyal
PB-19150,1456.95,11,0,Loyal
PB-19210,132.738,2,0,Loyal
PC-18745,1832.064,5,0,Loyal
PC-19000,1061.488,3,0,Loyal
PF-19120,9062.864,19,1,Occasional
PF-19165,2770.0,10,0,Loyal
PF-19225,2206.1279999999997,10,0,Loyal
PG-18820,3086.907,26,2,High-Value
PG-18895,1987.164,17,0,Loyal
PH-18790,729.648,2,0,Loyal
PJ-18835,1220.09,13,0,Loyal
PJ-19015,1824.2340000000002,10,0,Loyal
PK-18910,1441.152,3,0,Loyal
PK-19075,8646.934,25,1,Occasional
PL-18925,239.481,8,0,Loyal
PM-18940,1405.402,4,0,Loyal
PM-19135,4115.662,7,2,High-Value
PN-18775,1467.152,13,0,Loyal
PO-18850,7473.8282,22,1,Occasional
PO-18865,2493.214,13,0,Loyal
PO-19180,4893.043,18,2,High-Value
PO-19195,1056.858,10,0,Loyal
PP-18955,7252.608,34,2,High-Value
PR-18880,1840.178,12,0,Loyal
PS-18760,2181.479,21,0,Loyal
PS-18970,1278.639,13,0,Loyal
PS-19045,6843.634,13,2,High-Value
PT-19090,160.572,7,0,Loyal
PV-18985,2876.046,13,0,Loyal
PW-19030,3454.916,13,2,High-Value
PW-19240,3922.4150000000004,12,2,High-Value
QJ-19255,6108.338,13,2,High-Value
RA-19285,2617.906,17,0,Loyal
RA-19885,3832.314,15,2,High-Value
RA-19915,4793.543,22,2,High-Value
RA-19945,1686.9225,9,0,Loyal
RB-19330,1008.1959999999999,6,0,Loyal
RB-19360,15117.339,18,1,Occasional
RB-19435,2663.0860000000002,16,0,Loyal
RB-19465,4715.466,23,2,High-Value
RB-19570,528.546,9,0,Loyal
RB-19645,221.084,7,0,Loyal
RB-19705,2067.45,7,0,Loyal
RB-19795,5633.316000000001,18,2,High-Value
RC-19825,966.409,10,0,Loyal
RC-19960,885.752,11,0,Loyal
RD-19480,4272.93,15,2,High-Value
RD-19585,2912.8940000000002,19,0,Loyal
RD-19660,2786.632,5,0,Loyal
RD-19720,1419.737,20,0,Loyal
RD-19810,1137.616,16,0,Loyal
RD-19900,3133.924,21,2,High-Value
RD-19930,970.9420000000001,10,0,Loyal
RE-19405,48.36,1,0,Loyal
RE-19450,876.696,9,0,Loyal
RF-19345,3309.15,16,2,High-Value
RF-19735,2341.2960000000003,14,0,Loyal
RF-19840,945.222,11,0,Loyal
RH-19495,3621.3759999999997,8,2,High-Value
RH-19510,6979.18,12,2,High-Value
RH-19555,740.382,3,0,Loyal
RH-19600,2085.7400000000002,11,0,Loyal
RK-19300,1460.192,8,0,Loyal
RL-19615,6234.91,24,2,High-Value
RM-19375,1453.474,9,0,Loyal
RM-19675,5979.0960000000005,11,2,High-Value
RM-19750,98.35,2,0,Loyal
RO-19780,3815.478,12,2,High-Value
RP-19270,954.6452,12,0,Loyal
RP-19390,5153.084,25,2,High-Value
RP-19855,2170.716,15,0,Loyal
RR-19315,615.932,4,0,Loyal
RR-19525,3302.2619999999997,10,2,High-Value
RS-19420,3221.29,9,2,High-Value
RS-19765,4159.7699999999995,14,2,High-Value
RS-19870,22.328,3,0,Loyal
RW-19540,7397.401,23,1,Occasional
RW-19630,3279.746,16,2,High-Value
RW-19690,3495.646,15,2,High-Value
SA-20830,4767.3415,21,2,High-Value
SB-20170,1348.02,7,0,Loyal
SB-20185,6410.996,12,2,High-Value
SB-20290,8057.891,17,1,Occasional
SC-20020,3362.9636,17,2,High-Value
SC-20050,4624.572,15,2,High-Value
SC-20095,14142.333999999999,22,1,Occasional
SC-20230,4371.9580000000005,11,2,High-Value
SC-20260,3729.7929999999997,18,2,High-Value
SC-20305,3979.065,12,2,High-Value
SC-20380,5992.536,20,2,High-Value
SC-20440,1874.998,10,0,Loyal
SC-20575,902.7280000000001,7,0,Loyal
SC-20680,1254.64,8,0,Loyal
SC-20695,2576.408,14,0,Loyal
